scenario_id,family_id,terminal_state,q_code,candidate_action_label,action_sequence,parameter_policy,rationale,confidence,label_status
0cd393ea5ca3,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
6eadc4296340,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
b250839ce268,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
91f22a0a9c59,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
311d798c9448,F22,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
d4c2205985c0,F22,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
2ac8db75b755,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
07715086953a,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
8756a9bc7c18,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
c36ba502bbe5,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
fe42cca9d406,F22,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
d833d9fc630c,F22,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
22f077d63d04,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
766acaf9e833,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
6ae3805352da,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
e27392976e1c,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
2ffd9a5d13eb,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
8a2fecba82ff,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
83e74c1157e4,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
f87bcf2b9e36,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
0bc6f9e56a26,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
a5d3cd439564,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
b4aa758718cd,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
0264551b71d3,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
c849e4accea4,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
cfc4e88436a2,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
bcc115610bb1,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
39d90849e921,F01,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
e639de67091b,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
3886d53e6588,F22,QUARANTINE,Q11,QUARANTINE_ADDL_CONFLICT_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
43a221795ed7,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
8ce2c983f951,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
e4f8c458f608,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
590ecff4245a,F01,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
d011540818b7,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
b65a9886c1ea,F22,QUARANTINE,Q11,QUARANTINE_BIO_FINAL_FLAG_Q11,parse_source -> flag_quarantine,"{""q_code"": ""Q11""}",auto-derived per v5.1 label rules,HIGH,draft
bb2a17458d7a,F01,AUTO,,AUTO_F01_SMALL_MOLECULE,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},auto-derived per v5.1 label rules,HIGH,draft
bee7cef125e1,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,parse_source -> flag_quarantine,"{""q_code"": ""Q15B""}",auto-derived per v5.1 label rules,HIGH,draft
bc91c1abfde9,F01,REPAIR,,REPAIR_F01_CMTM,parse_source -> assign_cmt_multi -> assign_evid -> sort_records -> export_nonmem_ready,"{""cmt_analyte_policy"": ""multi_with_rules""}",auto-derived per v5.1 label rules,HIGH,draft
849dd399567c,F01,QUARANTINE,Q15B,QUARANTINE_LEGACY_FLAG_UNDOC_Q15B,parse_source -> flag_quarantine,"{""q_code"": ""Q15B""}",auto-derived per v5.1 label rules,HIGH,draft
59b7f30e4b38,F22,REPAIR,,REPAIR_F22_DDIVP,parse_source -> assign_cmt_ddi_victim_perpetrator -> assign_evid -> sort_records -> export_nonmem_ready,"{""cmt_analyte_policy"": ""ddi_dual_cmt"", ""dual_cmt_policy"": ""victim_low_perp_high""}",auto-derived per v5.1 label rules,HIGH,draft
