node_id,question,allowed_answers,yes_path,no_path,q_code_if_fail,depends_on_axis,terminal_if_fail,forced_inclusion,cost_if_excluded,total_cost,rationale,detection_rule,audit_risk,v5_1_note
N0,Is AIC valid AND endpoint_data_type declared as required?,Y/N,N1,terminal,Q11,A0,QUARANTINE,TRUE,INFINITY,4.20,"Without AIC, no decision is meaningful.","A0_state != AIC-MISSING AND (endpoint_data_type declared when A0 in [AIC-PKPD,AIC-ER,AIC-TTE,AIC-BIOMARKER,AIC-CELL_THERAPY,AIC-IMMUNOGEN,AIC-LACTATION])",5,Standard forced gate
N1,Is subject identifier resolvable (including dyad linkage for MATERNAL_INFANT_PK)?,Y/N,N2,terminal,Q03,A1,QUARANTINE,TRUE,INFINITY,3.90,ID failure -> INVALID; dyad-key failure -> Q18.,"A1_state in [ID-DEFINED,ID-DUPLICATE-RESOLVABLE,ID-DYAD-LINKABLE] AND (if MATERNAL_INFANT_PK: dyad_linkage_key present)",4,Standard forced gate
N2,Is time axis resolvable (actual/nominal/elapsed/postpartum)?,Y/N,N3,terminal,Q02,A2,QUARANTINE,TRUE,INFINITY,4.10,Time path determines event ordering; v4.2 adds postpartum anchor.,"A2_state in [TIME-DEFINED,TIME-ACTUAL-VS-NOMINAL-RESOLVABLE,TIME-INTERVAL-RESOLVABLE,TIME-ELAPSED-RESOLVABLE] AND (delivery_anchor present if pregnancy/lactation)",4,Standard forced gate
N3,Is dose record complete (regimen + infusion + ADDL)?,Y/N,N4,terminal,Q08,A3,QUARANTINE,TRUE,INFINITY,4.50,Dose path failure -> false REPAIR risk highest.,"A3_state not in [DOSE-UNRECOVERABLE,DOSE-AMBIGUOUS] AND A4_state not in [MISSING-NO-POLICY,UNRECOVERABLE,ADDL-ACTUAL-CONFLICT(no policy),TITRATION-ADAPTIVE(no policy),LOADING-MAINTENANCE(no policy),INFUSION-STOP-RESTART(no policy)]",4,v5.1 cost raised from 3.6 due to v4.2 dose paths
N4,Is observation/CMT resolvable (including analyte_role)?,Y/N,N5,terminal,Q09,A5+A8,QUARANTINE,TRUE,INFINITY,4.10,v4.2 cellular/immunogen/milk silent error mostly happens here.,"A5_state not in [ABSENT,BIOANALYTICAL-FINAL-FLAG-MISSING,BLQ-NO-POLICY,LLOQ-MISSING,CELLULAR-LLOQ-POLICY-MISSING,IMMUNOGEN-POSITIVITY-MISSING] AND A8_state != CMT-POLICY-MISSING AND (analyte_role declared when modality in [ADC,BISPECIFIC,CELL_THERAPY] AND A8 in [MULTI-CMT-DEFINED,DDI-VICTIM-PERPETRATOR,METABOLITE-DEFINED])",5,v5.1 cost raised from 3.2 due to v4.2 endpoint subtypes
N5,Is BLQ/MDV policy applied?,Y/N,N6,terminal,Q01,A5,QUARANTINE,TRUE,INFINITY,3.10,BLQ mismatch -> wrong DV values.,"A5_state not in [BLQ-NO-POLICY,LLOQ-MISSING,CELLULAR-LLOQ-POLICY-MISSING] AND (cellular_LLOQ present if cellular endpoint)",3,v5.1 PATCH-3 forced added
N6,Is covariate attachment resolvable (incl. product-level for CAR-T)?,Y/N,N7,terminal,Q07,A6+A7,QUARANTINE,FALSE,2.00,2.00,Optional for some scenarios.,"A6_state != COVARIATE-IMPUTATION-POLICY-MISSING AND A7_state not in [KEY-MISSING,POLICY-MISSING] AND (product_level_linkage present if PRODUCT-LEVEL-COVARIATE)",2,Optional
N7,Remaining ambiguity below threshold?,Y/N,terminal,terminal,Q06,A9,QUARANTINE,FALSE,2.10,2.10,Catch-all; may be redundant.,"A9_state not in [REANALYSIS-FINAL-MISSING,PROTOCOL-DEVIATION-NO-POLICY,IRRECONCILABLE]",2,Optional
N8,Are ALL required_policies for proposed action_sequence declared in AIC?,Y/N,terminal,terminal,(Q-code per policy),AIC,QUARANTINE,TRUE,INFINITY,4.40,Explicit gate catching partial policy declarations.,All required_policy fields of all functions in expected_action_sequence are present in AIC (non-null/non-empty),5,v5.1 NEW (PATCH-3)
N9,is_endpoint CELLULAR_KINETICS?,Y/N,terminal,terminal,,A0,n.a.,FALSE,2.00,2.00,Distinguishes cellular-kinetics path from other endpoints.,endpoint_data_type == CELLULAR_KINETICS,3,v5.1 P92 patch — added to resolve infeasible pairs
