node_id,included,forced,cost,rationale_v5_1
N0,Y,Y,4.2,"Without AIC, no decision is meaningful."
N1,Y,Y,3.9,ID failure -> INVALID; dyad-key failure -> Q18.
N2,Y,Y,4.1,Time path determines event ordering; v4.2 adds postpartum anchor.
N3,Y,Y,4.5,Dose path failure -> false REPAIR risk highest.
N4,Y,Y,4.1,v4.2 cellular/immunogen/milk silent error mostly happens here.
N5,Y,Y,3.1,BLQ mismatch -> wrong DV values.
N6,N,N,2.0,Optional for some scenarios.
N7,N,N,2.1,Catch-all; may be redundant.
N8,Y,Y,4.4,Explicit gate catching partial policy declarations.
N9,N,N,2.0,Distinguishes cellular-kinetics path from other endpoints.
N10,N,N,2.0,Distinguishes immunogenicity path.
N11,Y,N,2.0,Distinguishes maternal-infant / milk paths.
N12,N,N,2.0,Distinguishes v4.2 modality-driven paths.
N13,Y,N,1.5,Distinguishes BLQ-handling vs no-BLQ paths.
N14,Y,N,1.5,Distinguishes dose-reconstruction paths.
N15,N,N,1.2,Distinguishes pooled-study ID disambiguation.
N16,N,N,1.2,Distinguishes reanalysis-resolved paths.
N17,Y,N,1.2,Distinguishes pregnancy/lactation time-anchor paths.
N18,N,N,1.3,Distinguishes multi-CMT scenarios.
N19,Y,N,1.3,Distinguishes product-level / time-varying / external covariate scenarios.
N20,Y,N,1.1,Distinguishes Q15A (data package incomplete) from other quarantines.
N21,Y,N,1.1,Distinguishes multi-CMT scenarios (Q09/Q16 paths).
N22,Y,N,1.1,Distinguishes DDI dual-CMT from other multi-CMT.
N23,N,N,1.1,Distinguishes Q15B from other quarantines.
N24,Y,N,1.1,Distinguishes ADDL-conflict paths from other regimen paths.
N25,Y,N,1.1,Distinguishes ADC/Bispecific/Cell/Gene from MRNA.
N26,N,N,1.1,Distinguishes role-tagged CMT vs plain multi-CMT.
N27,Y,N,1.0,Distinguishes cellular vs concentration BLQ.
N28,N,N,1.0,Distinguishes cellular BLQ function from concentration BLQ.
N29,Y,N,1.0,Distinguishes ADA-adjudication paths from clean immunogenicity.
