case_id,scenario_description,A0_state,modality_class,endpoint_data_type,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,analyte_role,A9_state,A10_state,required_policies,terminal_state,q_code,action_sequence_pattern,family_id_hint
BC001,Standard SDTM popPK,AIC-PK,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-COMPLETE,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],AUTO,,parse->assign->export,F01
BC002,Preclinical PK,AIC-PRECLINICAL,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],AUTO,,parse->assign->export,F19
BC003,SAD/MAD escalation,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],AUTO,,parse->assign->export,F07
BC004,Food effect,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],AUTO,,parse->assign->export,F10
BC005,Multi-study pooled popPK with ID conflict,AIC-PK,MAB,PK_CONCENTRATION,ID-DUPLICATE-RESOLVABLE,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[id_disambiguation_policy],REPAIR,,parse->map_subject_id->assign->export,F02
BC006,EDC multi-table join,AIC-PKPD,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-COMPLETE,EXTERNAL-LINKABLE,SINGLE-ANALYTE,,REANALYSIS-NONE,SEMI-STRUCTURED,[external_linkage_policy],REPAIR,,parse->attach_covariate_external->assign->export,F03
BC007,Flat Excel canonicalization,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-ACTUAL-VS-NOMINAL-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,SEMI-STRUCTURED,[time_policy],REPAIR,,parse->derive_time->assign->export,F05
BC008,Crossover BA/BE,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[occasion_policy],REPAIR,,parse->assign(OCC)->export,F08
BC009,Weight-based pediatric dose,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-WEIGHT-BASED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[dose_reconstruction_policy],REPAIR,,parse->reconstruct_dose_weight->assign->export,F12
BC010,Titration adaptive,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-TITRATION,TITRATION-ADAPTIVE,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[dose_adaptation_policy],REPAIR,,parse->reconstruct_dose_titration->assign->export,F07
BC011,Loading-maintenance regimen,AIC-PK,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-LOADING-MAINTENANCE,LOADING-MAINTENANCE,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[dose_reconstruction_policy],REPAIR,,parse->reconstruct_loading_maintenance->assign->export,F01
BC012,Infusion stop-restart,AIC-PK,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-INFUSION-STOP-RESTART,INFUSION-STOP-RESTART,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[infusion_reconstruction_policy],REPAIR,,parse->reconstruct_infusion_stop_restart->assign->export,F01
BC013,ADDL-actual conflict resolved,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[addl_actual_conflict_policy],REPAIR,,parse->resolve_addl_actual_conflict->assign->export,F01
BC014,BLQ with policy,AIC-PK,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BLQ-DEFINED-POLICY,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[blq_handling_policy],REPAIR,,parse->canonicalize_blq->assign->export,F01
BC015,DDI victim only,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-ONLY,,REANALYSIS-NONE,STRUCTURED,[cmt_analyte_policy],REPAIR,,parse->assign_cmt_ddi_victim_only->assign->export,F09
BC016,DDI victim+perpetrator,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,DDI-VICTIM-PERPETRATOR,PARENT,REANALYSIS-NONE,STRUCTURED,"[cmt_analyte_policy,dual_cmt_policy]",REPAIR,,parse->assign_cmt_ddi_victim_perpetrator->assign->export,F22
BC017,External covariate linkage,AIC-PKPD,MAB,EXPOSURE_METRIC,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-COMPLETE,EXTERNAL-LINKABLE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[external_linkage_policy],REPAIR,,parse->attach_covariate_external->assign->export,F16
BC018,TDM with adherence policy,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-ACTUAL-VS-NOMINAL-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,SEMI-STRUCTURED,[adherence_imputation_policy],REPAIR,,parse->derive_time->assign->export,F20
BC019,Urine interval PK,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-INTERVAL-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],REPAIR,,parse->derive_time_interval->assign->export,F21
BC020,Combination therapy,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,PARENT,REANALYSIS-NONE,STRUCTURED,[cmt_analyte_policy],REPAIR,,parse->assign_cmt_multi->assign->export,F23
BC021,ADC with full analyte_role,AIC-PKPD,ADC,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,TOTAL_ANTIBODY|CONJUGATED_ADC|UNCONJUGATED_PAYLOAD,REANALYSIS-NONE,STRUCTURED,"[cmt_analyte_policy,analyte_role_declaration]",REPAIR,,parse->assign_cmt_with_analyte_role->assign->export,F24
BC022,Bispecific with parent+target+complex,AIC-PKPD,BISPECIFIC,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,REANALYSIS-NONE,STRUCTURED,"[cmt_analyte_policy,analyte_role_declaration]",REPAIR,,parse->assign_cmt_with_analyte_role->assign->export,F25
BC023,CAR-T cellular kinetics complete,AIC-CELL_THERAPY,CELL_THERAPY,CELLULAR_KINETICS,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,CELLULAR-BLQ-DEFINED,COVARIATE-BASELINE-ONLY,PRODUCT-LEVEL-COVARIATE,MULTI-CMT-DEFINED,VECTOR_COPY|CAR_POSITIVE_CELL,REANALYSIS-NONE,STRUCTURED,"[cellular_LLOQ_derivation_policy,lot_subject_linkage_key,product_level_covariate_linkage_policy]",REPAIR,,parse->canonicalize_cellular_blq->attach_covariate_product_level->assign_cmt_with_analyte_role->export,F26
BC024,mRNA prime-boost with positivity rule,AIC-IMMUNOGEN,MRNA,IMMUNOGENICITY,ID-DEFINED,TIME-DEFINED,DOSE-LOADING-MAINTENANCE,LOADING-MAINTENANCE,IMMUNOGEN-POSITIVITY-DEFINED,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,ADA,REANALYSIS-NONE,STRUCTURED,"[positivity_adjudication_rule,dose_reconstruction_policy]",REPAIR,,parse->adjudicate_immunogenicity_positivity->reconstruct_loading_maintenance->assign->export,F27
BC025,Pregnancy PK with delivery anchor,AIC-PKPD,MAB,PK_CONCENTRATION,ID-DEFINED,TIME-ELAPSED-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,"[delivery_anchor_policy,elapsed_anchor_policy]",REPAIR,,parse->derive_time_postpartum_anchor->assign->export,F28
BC026,Lactation dyad linkage + delivery anchor,AIC-LACTATION,MAB,MATERNAL_INFANT_PK,ID-DYAD-LINKABLE,TIME-ELAPSED-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,"[dyad_linkage_policy,delivery_anchor_policy]",REPAIR,,parse->attach_dyad_linkage->derive_time_postpartum_anchor->assign->export,F29
BC027,Milk PK matrix LLOQ,AIC-LACTATION,SMALL_MOLECULE,MILK_PK,ID-DYAD-LINKABLE,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,"[dyad_linkage_policy,milk_matrix_lloq_policy,delivery_anchor_policy]",REPAIR,,parse->attach_dyad_linkage->assign_milk_matrix_lloq->assign->export,F29
BC028,Product-level covariate (lot transduction efficiency),AIC-CELL_THERAPY,CELL_THERAPY,CELLULAR_KINETICS,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,CELLULAR-BLQ-DEFINED,COVARIATE-BASELINE-ONLY,PRODUCT-LEVEL-COVARIATE,SINGLE-ANALYTE,CAR_POSITIVE_CELL,REANALYSIS-NONE,STRUCTURED,"[cellular_LLOQ_derivation_policy,product_level_covariate_linkage_policy,lot_subject_linkage_key]",REPAIR,,parse->canonicalize_cellular_blq->attach_covariate_product_level->assign->export,F26
BC029,Postpartum-anchored elapsed time,AIC-LACTATION,MAB,MATERNAL_INFANT_PK,ID-DYAD-LINKABLE,TIME-ELAPSED-RESOLVABLE,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,"[delivery_anchor_policy,dyad_linkage_policy]",REPAIR,,parse->attach_dyad_linkage->derive_time_postpartum_anchor->assign->export,F29
BC030,Reanalysis final resolvable,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-FINAL-RESOLVABLE,STRUCTURED,[reanalysis_final_selection_policy],REPAIR,,parse->resolve_reanalysis_final->assign->export,F01
BC031,Protocol deviation resolvable,AIC-PK,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-COMPLETE,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,PROTOCOL-DEVIATION-RESOLVABLE,STRUCTURED,[],REPAIR,,parse->assign->export,F01
BC032,Metabolite analyte_role tagged,AIC-PKPD,SMALL_MOLECULE,PK_CONCENTRATION,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,METABOLITE-DEFINED,PARENT|ACTIVE_METABOLITE,REANALYSIS-NONE,STRUCTURED,[cmt_analyte_policy],REPAIR,,parse->assign_cmt_multi->assign->export,F23
BC033,Time-varying covariate,AIC-PKPD,MAB,CONTINUOUS_PD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-TIME-VARYING-RESOLVABLE,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[covariate_policy],REPAIR,,parse->attach_covariate_time_varying->assign->export,F13
BC034,AIC missing,AIC-MISSING,SMALL_MOLECULE,,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q11,parse->flag_quarantine(Q11),F01
BC035,endpoint_data_type missing for AIC-PKPD,AIC-PKPD,MAB,,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[],QUARANTINE,Q11,parse->flag_quarantine(Q11),F01
BC036,CELLULAR_KINETICS without LLOQ policy,AIC-CELL_THERAPY,CELL_THERAPY,CELLULAR_KINETICS,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,CELLULAR-LLOQ-POLICY-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,CAR_POSITIVE_CELL,REANALYSIS-NONE,STRUCTURED,[cellular_LLOQ_derivation_policy],QUARANTINE,Q01,parse->flag_quarantine(Q01),F26
BC037,IMMUNOGENICITY without positivity rule,AIC-IMMUNOGEN,MAB,IMMUNOGENICITY,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,IMMUNOGEN-POSITIVITY-MISSING,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,ADA,REANALYSIS-NONE,STRUCTURED,[positivity_adjudication_rule],QUARANTINE,Q19,parse->flag_quarantine(Q19),F27
BC038,MATERNAL_INFANT_PK without dyad key,AIC-LACTATION,MAB,MATERNAL_INFANT_PK,ID-DYAD-UNLINKED-POLICY-MISSING,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,,REANALYSIS-NONE,STRUCTURED,[dyad_linkage_policy],QUARANTINE,Q18,parse->flag_quarantine(Q18),F29
